Date,Confirmed,Recovered,Deceased,Other,Tested,Infected,Delta_C,Delta_D,Delta_R,beta,gamma,delta,r0,R0
2020-06-25,491190,285671,15308,55,7776228.0,190211,18255.0,381.0,10246.0,0.09597236752869182,0.05386649562853883,0.002003038730672779,0.040102833169480205,1.7177942975439917
2020-06-26,509445,295917,15689,56,7996707.0,197839,20142.0,414.0,14229.0,0.10181005767315848,0.07192211849028755,0.002092610658161434,0.027795328524709492,1.3755377996312232
2020-06-27,529587,310146,16103,56,8227802.0,203338,19610.0,384.0,11631.0,0.09644040956437065,0.05720032654988246,0.001888481247971358,0.037351601766516834,1.6321265085310028
2020-06-28,549197,321777,16487,56,8398362.0,210933,18339.0,417.0,13497.0,0.08694229921349433,0.06398714283682497,0.001976931063418242,0.020978225313251123,1.3180250107805087
2020-06-29,567536,335274,16904,60,8608654.0,215358,18256.0,506.0,12565.0,0.08477047520872222,0.05834470973913205,0.0023495760547553378,0.02407618941483483,1.39667967255757
2020-06-30,585792,347839,17410,66,8826585.0,220543,19429.0,438.0,12064.0,0.08809619892719334,0.05470135075699523,0.0019860072638895818,0.03140884090630852,1.5540713485842266
2020-07-01,605221,359903,17848,66,9056173.0,227470,21947.0,378.0,19999.0,0.0964830527102475,0.08791928605970017,0.0016617575944080538,0.006902009056139274,1.077047651764244
2020-07-02,627168,379902,18226,66,9297749.0,229040,22718.0,444.0,14417.0,0.09918791477471184,0.062945337059029,0.001938526021655606,0.03430405169402724,1.5286992799946166
2020-07-03,649886,394319,18670,66,9540132.0,236897,24018.0,611.0,14746.0,0.10138583434994955,0.06224646154235807,0.0025791799811732525,0.03656019282641823,1.5639773393240868
2020-07-04,673904,409065,19281,66,9789066.0,245558,23942.0,421.0,15829.0,0.09750038687397682,0.06446134925353685,0.0017144625709608321,0.031324575049479136,1.473353846153846
2020-07-05,697846,424894,19702,83,9969662.0,253250,22500.0,473.0,15315.0,0.08884501480750247,0.06047384007897335,0.0018677196446199409,0.02650345508390918,1.425133012414492
2020-07-06,720346,440209,20175,96,10211092.0,259962,23145.0,479.0,16836.0,0.08903224317400235,0.06476331156092044,0.0018425769920219109,0.022426354621060005,1.3367022812590241
2020-07-07,743491,457045,20654,100,10473771.0,265792,25561.0,492.0,19508.0,0.09616918492655911,0.07339573802070792,0.0018510715145677824,0.0209223753912834,1.27805
2020-07-08,769052,476553,21146,101,10740832.0,271353,25790.0,479.0,19408.0,0.09504225123731817,0.07152307142357003,0.0017652283188319274,0.021753951494916213,1.2968270729622366
2020-07-09,794842,495961,21625,102,11024491.0,277256,27749.0,520.0,20289.0,0.10008439853420666,0.07317785728712814,0.001875522982370084,0.025031018264708438,1.3335095391417178
2020-07-10,822591,516250,22145,366,11307002.0,284196,27757.0,541.0,19981.0,0.09766851046460893,0.0703071119931315,0.0019036158144379231,0.025457782657039518,1.3525484845531626
2020-07-11,850348,536231,22686,372,11587153.0,291431,29106.0,497.0,18198.0,0.09987269713928855,0.062443597283748126,0.001705377945379867,0.03572372191016056,1.5568868681465633
2020-07-12,879454,554429,23183,372,11806256.0,301842,28178.0,541.0,17683.0,0.09335347632204928,0.058583629846078414,0.0017923284367318002,0.03297751803923907,1.5462028094820017
2020-07-13,907632,572112,23724,374,12092503.0,311796,29917.0,582.0,20976.0,0.0959505574157462,0.0672747565716045,0.001866605087942116,0.02680919575619957,1.3877446887466371
2020-07-14,937549,593088,24306,381,12412664.0,320155,32607.0,614.0,20646.0,0.10184754259655479,0.06448751386047383,0.0019178210554262778,0.03544220768065469,1.533725305738476
2020-07-15,970156,613734,24920,381,12739490.0,331502,35468.0,680.0,22867.0,0.10699181302073592,0.0689799759880785,0.002051269675597734,0.03596056735705967,1.5062640676094616
2020-07-16,1005624,636601,25600,382,13072718.0,343423,34824.0,676.0,17486.0,0.10140264338730953,0.050916799398991915,0.001968417956863693,0.048517426031453925,1.9174099768747936
2020-07-17,1040448,654087,26276,385,13433742.0,360085,37411.0,543.0,23582.0,0.10389491370093172,0.06549009261702098,0.0015079772831414805,0.03689684380076927,1.550715025906736
2020-07-18,1077859,677669,26819,391,13791869.0,373371,40235.0,675.0,22730.0,0.10776144906808509,0.06087778643761835,0.0018078533147994889,0.04507580931566725,1.7190771202734456
2020-07-19,1118094,700399,27494,394,14047908.0,390201,36806.0,596.0,24303.0,0.09432574493658397,0.06228328476861925,0.0015274179205076357,0.030515042247457075,1.4782119763845936
2020-07-20,1154900,724702,28090,396,14381303.0,402108,39170.0,671.0,27589.0,0.09741164065375471,0.06861092044923255,0.00166870591980264,0.02713201428471952,1.3860580325548477
2020-07-21,1194070,752291,28761,397,14724546.0,413018,45601.0,1130.0,31875.0,0.1104092315589151,0.07717581316068549,0.002735958239108223,0.030497460159121387,1.3816391455840022
2020-07-22,1239671,784166,29891,404,15075369.0,425614,48443.0,755.0,33326.0,0.11381909429671017,0.07830099573792215,0.001773907813182837,0.03374419074560518,1.4214078225404185
2020-07-23,1288114,817492,30646,405,15428170.0,439976,48888.0,763.0,32514.0,0.11111515173554921,0.07389948542647781,0.0017341855010273289,0.03548148080804407,1.469122817561679
2020-07-24,1337002,850006,31409,407,15849068.0,455587,50072.0,703.0,37125.0,0.10990656010816814,0.08148827776033996,0.0015430642226402422,0.02687521812518795,1.3236755842233268
2020-07-25,1387074,887131,32112,407,16291331.0,467831,48932.0,704.0,31512.0,0.10459332536749381,0.06735765693166977,0.0015048169103800304,0.035730851525444016,1.5188726098832879
2020-07-26,1436006,918643,32816,408,16806803.0,484547,46484.0,642.0,34354.0,0.09593290227779762,0.07089921101564967,0.0013249488697690832,0.02370874239237887,1.3282660875528634
2020-07-27,1482490,952997,33458,410,17334885.0,496035,49631.0,774.0,35683.0,0.10005543963631598,0.07193645609684801,0.0015603737639481084,0.026558609775519867,1.3613572153495899
2020-07-28,1532121,988680,34232,411,17743740.0,509209,52479.0,775.0,32886.0,0.10305984379694781,0.06458251916207294,0.0015219683862618297,0.03695535624861304,1.5590445916639435
2020-07-29,1584600,1021566,35007,415,18190382.0,528027,54968.0,784.0,37425.0,0.1041007372729046,0.07087705742319995,0.0014847725589789917,0.03173890729072565,1.4386139391242898
2020-07-30,1639568,1058991,35791,422,18832970.0,544786,57486.0,765.0,36554.0,0.10552033275451278,0.0670979063338632,0.001404221107003484,0.037018205313646094,1.540394973070018
2020-07-31,1697054,1095545,36556,425,19358659.0,564953,55117.0,854.0,51368.0,0.09756032802728723,0.09092437778009853,0.0015116301710053756,0.005124320076183325,1.0554364061123664
2020-08-01,1752171,1146913,37410,431,19821831.0,567848,52672.0,760.0,40355.0,0.09275721671996731,0.07106655302123104,0.0013383863287358588,0.02035227737000042,1.2810896266569378
2020-08-02,1804843,1187268,38170,433,20202858.0,579405,50489.0,806.0,43070.0,0.08713939299798931,0.07433487802141853,0.0013910822309092948,0.011413432745661492,1.150720211505151
2020-08-03,1855332,1230338,38976,437,20864750.0,586018,51282.0,849.0,51220.0,0.08750925739482406,0.0874034585968349,0.0014487609595609692,-0.0013429621615718146,0.9848854404732184
2020-08-04,1906614,1281558,39825,449,21484402.0,585231,56626.0,919.0,45583.0,0.09675837404375366,0.07788890198912908,0.001570320095825409,0.017299151958799178,1.2177110661907016
2020-08-05,1963240,1327141,40744,450,22149351.0,595355,62170.0,899.0,50141.0,0.10442509091214486,0.08422033912539577,0.0015100234313980734,0.01869472835535102,1.2180642633228842
2020-08-06,2025410,1377282,41643,454,22788393.0,606485,61455.0,936.0,50387.0,0.10132979381188323,0.08308037296882857,0.0015433192906667106,0.016706101552387942,1.1974163630341172
2020-08-07,2086865,1427669,42579,456,23387171.0,616617,65156.0,875.0,52135.0,0.10566688884672333,0.08455005295021059,0.0014190332086205862,0.01969780268789216,1.2291265798905866
2020-08-08,2152021,1479804,43454,461,24106535.0,628763,62117.0,1013.0,54474.0,0.09879239077363013,0.08663677729128463,0.001611099889783591,0.010544513592561908,1.1194874475102277
2020-08-09,2214138,1534278,44467,464,24583558.0,635393,53016.0,887.0,47362.0,0.08343812412160663,0.07453969433091016,0.0013959864210024346,0.007502443369694037,1.0987999751290183
2020-08-10,2267154,1581640,45354,467,25281848.0,640160,61252.0,835.0,56461.0,0.0956823294176456,0.08819826293426643,0.0013043614096475882,0.006179705073731584,1.0690449595085174
2020-08-11,2328406,1638101,46189,473,26015297.0,644116,67066.0,950.0,57759.0,0.10412099683907867,0.08967173614690521,0.001474889616156096,0.012974371076017371,1.142346147950059
2020-08-12,2395472,1695860,47139,476,26845688.0,652473,64141.0,1006.0,54776.0,0.09830445091214503,0.08395136656995768,0.0015418262518142514,0.012811258090373104,1.149851206482378
2020-08-13,2459613,1750636,48145,488,27694416.0,660832,65610.0,989.0,56920.0,0.09928393298145369,0.08613384339741417,0.0014965982276887318,0.011653491356350784,1.1329845101797649
2020-08-14,2525223,1807556,49134,492,28563095.0,668533,63986.0,952.0,53116.0,0.09571105689621903,0.07945157531490592,0.0014240134742787567,0.014835468107034358,1.1834356735962122
2020-08-15,2589209,1860672,50086,496,29309703.0,678451,58096.0,952.0,57404.0,0.08563035502932415,0.084610384537719,0.0014031963988556284,-0.000383225907250484,0.9955445883885119
2020-08-16,2647305,1918076,51038,514,30041400.0,678191,54298.0,880.0,58172.0,0.08006299110427594,0.08577524620645216,0.0012975695637364696,-0.007009824665912698,0.9194946826525774
2020-08-17,2701603,1976248,51918,516,30941264.0,673437,65024.0,1099.0,60455.0,0.09655543131725759,0.08977083231245091,0.0016319269656998353,0.005152672039106854,1.0563732657503981
2020-08-18,2766627,2036703,53017,526,31742782.0,676907,69196.0,979.0,59365.0,0.10222379145141061,0.08770037833853099,0.0014462843492532948,0.013077128763626322,1.1466922974943656
2020-08-19,2835823,2096068,53996,531,32661252.0,685759,68518.0,981.0,61873.0,0.09991556800566963,0.09022557487397176,0.0014305317174109272,0.008259461414286948,1.0901135965889204
2020-08-20,2904341,2157941,54977,531,33467237.0,691423,69029.0,953.0,62858.0,0.09983613504323692,0.09091106312633511,0.001378316891396439,0.007546755025505378,1.081772735108367
2020-08-21,2973370,2220799,55930,545,34491073.0,696641,70067.0,918.0,59101.0,0.10057834666636044,0.0848370968691191,0.0013177518980364347,0.014423497899204912,1.1674136523434249
2020-08-22,3043437,2279900,56848,553,35292220.0,706689,61749.0,846.0,56896.0,0.08737789890602514,0.08051066310640183,0.0011971319774327887,0.00567010382219052,1.069394894530844
2020-08-23,3105186,2336796,57694,555,35902137.0,710696,59696.0,854.0,66305.0,0.08399653297612482,0.09329586771277733,0.0012016389567409975,-0.010500973693393506,0.8888756533003769
2020-08-24,3164882,2403101,58548,566,36827520.0,703233,66873.0,1066.0,64151.0,0.09509366028044759,0.0912229659302109,0.0015158560533990867,0.002354838296837608,1.0253921523529141
2020-08-25,3231755,2467252,59614,569,37651512.0,704889,75995.0,1017.0,56191.0,0.10781130078636494,0.07971609714437308,0.0014427803526512685,0.026652423289340588,1.3283981261362048
2020-08-26,3307750,2523443,60631,574,38576510.0,723676,76827.0,1066.0,59620.0,0.10616214991239173,0.08238493469453181,0.0014730348940686163,0.022304180323791292,1.2659756780806115
2020-08-27,3384577,2583063,61697,571,39477848.0,739817,76657.0,1019.0,64475.0,0.1036161645379871,0.0871499303206063,0.0013773676463233475,0.015088866571057444,1.1704430940238801
2020-08-28,3461234,2647538,62716,581,40406609.0,750980,78479.0,943.0,64982.0,0.10450211723348159,0.08652960132094063,0.0012556925617193534,0.0167168233508216,1.190428517254456
2020-08-29,3539713,2712520,63659,588,41461636.0,763534,79461.0,960.0,60422.0,0.10407002176720355,0.07913465543119233,0.0012573113967419918,0.023678054939269222,1.294532599133296
2020-08-30,3619174,2772942,64619,586,42307914.0,781613,68766.0,816.0,64435.0,0.0879796011581179,0.08243849577732203,0.001043994918201207,0.0044971104625946695,1.0538689062236595
2020-08-31,3687940,2837377,65435,589,43324834.0,785128,78168.0,1027.0,62147.0,0.09956083594012696,0.07915524602357832,0.0013080669648770646,0.01909752295167158,1.2373444771583246
2020-09-01,3766108,2899524,66462,592,44337201.0,800122,82865.0,1026.0,67876.0,0.10356545626791915,0.08483206311037567,0.0012823044485715928,0.017451088708971885,1.2026501407796581
2020-09-02,3848973,2967400,67488,597,45509380.0,814085,84159.0,1083.0,67510.0,0.10337863982262295,0.08292745843493002,0.0013303279141612977,0.019120853473531638,1.2269327773971106
2020-09-03,3933132,3034910,68571,604,46679145.0,829651,87107.0,1066.0,69604.0,0.1049923401526666,0.0838955175127855,0.0012848776172149493,0.019811945022666158,1.2325880854676665
2020-09-04,4020239,3104514,69637,615,47738491.0,846088,90606.0,1044.0,73165.0,0.10708815158706896,0.08647445655771031,0.0012339142027779615,0.019379780826580678,1.220957026775728
2020-09-05,4110845,3177679,70681,620,48831145.0,862485,91725.0,1005.0,69630.0,0.10634967564653298,0.08073183881458808,0.0011652376563070662,0.024452599175637843,1.2985771926098961
2020-09-06,4202570,3247309,71686,623,49551507.0,883575,75015.0,1129.0,74116.0,0.08489941431117902,0.08388195682313329,0.001277763630704807,-0.0002603061426590808,0.9969433184929232
2020-09-07,4277585,3321425,72815,596,50650128.0,883345,89855.0,1107.0,74608.0,0.10172129802059218,0.08446077127283225,0.0012531909955906242,0.01600733575216931,1.1867529551608003
2020-09-08,4367440,3396033,73922,601,51804677.0,897485,95536.0,1168.0,73062.0,0.10644857574221296,0.08140748870454659,0.0013014145083204733,0.023739672529345904,1.2870268085679646
2020-09-09,4462976,3469095,75090,601,52934433.0,918791,96762.0,1213.0,70904.0,0.1053144839250711,0.07717097794819497,0.0013202131932071603,0.026823292783668976,1.3417363451058697
2020-09-10,4559738,3539999,76303,636,54097975.0,943436,97655.0,1202.0,81456.0,0.10350993602109736,0.08633971991740828,0.001274066285365409,0.01589614981832367,1.1814343439231534
2020-09-11,4657393,3621455,77505,641,55189226.0,958433,94414.0,1111.0,77862.0,0.09850871161573109,0.08123885550685338,0.0011591837927116449,0.016110672316166072,1.1955225203550581
2020-09-12,4751807,3699317,78616,661,56260928.0,973874,93220.0,1140.0,77748.0,0.095720801664281,0.07983373619174554,0.0011705826421077059,0.014716482830427757,1.1816752864821012
2020-09-13,4845027,3777065,79756,671,57239428.0,988206,81913.0,1054.0,79213.0,0.08289061187647111,0.08015838802840704,0.0010665792355035286,0.0016656446125605379,1.0205065593581422
2020-09-14,4926940,3856278,80810,686,58312273.0,989852,91097.0,1281.0,82849.0,0.09203092987638556,0.08369837106961445,0.0012941328602659793,0.007038425946505139,1.082812314275526
2020-09-15,5018037,3939127,82091,717,59429115.0,996819,97860.0,1140.0,82924.0,0.09817228604189929,0.08318862300979415,0.001143637912198704,0.013840025119906424,1.1641130567186906
2020-09-16,5115897,4022051,83231,732,60565728.0,1010615,96787.0,1175.0,87788.0,0.0957703972333678,0.08686591827748451,0.0011626583812826843,0.007741820574600614,1.087946674460169
2020-09-17,5212684,4109839,84406,736,61572343.0,1018439,92973.0,1221.0,95515.0,0.09128970905473965,0.09378568574062855,0.0011988936008931316,-0.0036948702867820316,0.9611003142573602
2020-09-18,5305657,4205354,85627,745,62454254.0,1014676,92574.0,1149.0,94389.0,0.09123503463174452,0.09302378296126054,0.0011323811738919616,-0.0029211295034079765,0.9689756955347612
2020-09-19,5398231,4299743,86776,758,63661060.0,1011712,87395.0,1135.0,92926.0,0.08638327903593117,0.09185024987348178,0.001121860766700405,-0.006588831604251014,0.9291310957782716
2020-09-20,5485626,4392669,87911,782,64392594.0,1005046,74493.0,1056.0,102075.0,0.07411899554846246,0.1015625155465521,0.0010506981769988638,-0.0284942181750885,0.7223143380748757
2020-09-21,5560119,4494744,88967,797,65325779.0,976408,83362.0,1085.0,89657.0,0.08537619519708974,0.09182329517988382,0.0011112158032297974,-0.007558315786023881,0.91867051640916
2020-09-22,5643481,4584401,90052,807,66279462.0,969028,86703.0,1123.0,87459.0,0.08947419476011013,0.09025435797520814,0.0011588932414749625,-0.0019390564565729684,0.9787880156239418
2020-09-23,5730184,4671860,91175,818,67436031.0,967149,85921.0,1144.0,81142.0,0.08883946527370654,0.0838981377223158,0.0011828580704731121,0.0037584694809176256,1.0441751938361326
2020-09-24,5816105,4753002,92319,823,68928440.0,970784,85717.0,1093.0,93331.0,0.08829667567656657,0.09613982101064707,0.0011258941226884663,-0.008969039456768968,0.9077882741675845
2020-09-25,5901822,4846333,93412,832,70269975.0,962077,88759.0,1124.0,92365.0,0.09225768831392914,0.09600582905526273,0.0011683056553685412,-0.004916446396702134,0.9494058124485234
2020-09-26,5990581,4938698,94536,847,71257836.0,957347,82770.0,1040.0,74691.0,0.08645767939942361,0.07801873301947987,0.0010863354666594243,0.007352610913284319,1.0929474059500073
2020-09-27,6073351,5013389,95576,857,71967230.0,964386,69668.0,775.0,85194.0,0.07224078325483779,0.08834014595815369,0.0008036201272104738,-0.016902982830526367,0.8103851388291128
2020-09-28,6143019,5098583,96351,863,73110041.0,948085,80500.0,1178.0,86150.0,0.08490799875538586,0.09086738003449057,0.0012425046277496216,-0.007201885906854333,0.9218120190545989
2020-09-29,6223519,5184733,97529,883,74196729.0,941257,86748.0,1179.0,85274.0,0.09216186440047723,0.09059587339058302,0.0012525803260958483,0.00031341068379836523,1.0034122586839092
2020-09-30,6310267,5270007,98708,909,75619781.0,941552,81693.0,1096.0,78646.0,0.08676419358675888,0.08352804730912367,0.0011640355498156235,0.0020721107278195983,1.0244664041533946
2020-10-01,6391960,5348653,99804,918,76717728.0,943503,34829.0,344.0,34326.0,0.03691456200987172,0.03638144234835501,0.00036459873471520496,0.000168520926801502,1.0045860974906258
2020-10-02,6426789,5382979,100148,918,76717728.0,943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
